# ell cl_auto
2.650000000000000000e+01 8.346189695637572941e-06
7.650000000000000000e+01 3.466316316615368228e-06
1.265000000000000000e+02 2.033580308098936871e-06
1.765000000000000000e+02 1.389038140226000704e-06
2.265000000000000000e+02 9.914033274616645565e-07
2.765000000000000000e+02 7.702583973297464573e-07
3.265000000000000000e+02 6.335129659807470193e-07
3.764999999999999432e+02 5.216901517077258589e-07
4.264999999999999432e+02 4.553446296992941054e-07
4.764999999999999432e+02 4.093849980470745993e-07
5.265000000000000000e+02 3.708670240813036644e-07
5.765000000000000000e+02 3.369473692748503806e-07
6.265000000000000000e+02 3.150946246250341245e-07
6.765000000000001137e+02 2.928522967479010245e-07
7.265000000000001137e+02 2.764795536583409706e-07
7.765000000000001137e+02 2.563018877596772762e-07
8.265000000000000000e+02 2.450040118100280646e-07
8.765000000000000000e+02 2.350615207650523042e-07
9.265000000000000000e+02 2.226738939512515187e-07
9.765000000000000000e+02 2.158042673591155863e-07
1.026500000000000000e+03 2.085998310722344379e-07
1.076500000000000000e+03 2.015617637703206697e-07
1.126500000000000000e+03 1.942750616632011953e-07
1.176500000000000227e+03 1.888542670705194838e-07
1.226500000000000227e+03 1.867112525353169589e-07
1.276500000000000455e+03 1.802316549073162931e-07
1.326500000000000227e+03 1.755684702553275322e-07
1.376500000000000227e+03 1.730526624274255565e-07
1.426500000000000227e+03 1.682486356292302431e-07
1.476500000000000227e+03 1.654226979133709508e-07
1.526500000000000000e+03 1.632888330976912251e-07
1.576500000000000000e+03 1.594349075737340128e-07
1.626500000000000227e+03 1.549472281348267582e-07
1.676500000000000227e+03 1.534546011310397575e-07
1.726500000000000227e+03 1.527429605835919567e-07
1.776500000000000227e+03 1.482504393514409297e-07
1.826500000000000227e+03 1.476229571427460428e-07
1.876500000000000000e+03 1.447880480999780529e-07
1.926500000000000000e+03 1.427730384503430754e-07
1.976500000000000000e+03 1.411534130513150387e-07
2.026500000000000000e+03 1.398515131456260410e-07
2.076500000000000000e+03 1.366697386732595801e-07
2.126500000000000000e+03 1.360475128631386219e-07
2.176500000000000000e+03 1.358408104639283138e-07
2.226500000000000000e+03 1.332289925490607114e-07
2.276500000000000000e+03 1.324170709187781761e-07
2.326500000000000000e+03 1.297701608757975522e-07
2.376500000000000000e+03 1.292077540234586923e-07
2.426500000000000000e+03 1.283779583701833548e-07
2.476500000000000000e+03 1.274189064717823838e-07
2.526500000000000455e+03 1.268120720376819091e-07
2.576500000000000909e+03 1.254221945725948137e-07
2.626500000000000455e+03 1.239037275669484119e-07
2.676500000000000909e+03 1.240319083657676125e-07
2.726500000000001364e+03 1.228270269748576110e-07
2.776500000000001819e+03 1.223730563608484479e-07
2.826500000000001819e+03 1.217700192858553297e-07
2.876500000000001819e+03 1.205837695047382235e-07
2.926500000000001819e+03 1.201197149548663438e-07
2.976500000000001364e+03 1.193287912501206557e-07
3.026500000000001364e+03 1.180724646594292867e-07
3.076500000000001364e+03 1.179321906136813801e-07
3.126500000000000909e+03 1.168760667891346272e-07
3.176500000000000909e+03 1.156458533874594042e-07
3.226500000000000455e+03 1.158370459057192657e-07
3.276500000000000455e+03 1.149913261950072787e-07
3.326500000000000000e+03 1.154130803160481906e-07
3.376500000000000000e+03 1.145978019569700658e-07
3.426500000000000000e+03 1.132539562428971288e-07
3.476500000000000000e+03 1.135098210254457179e-07
3.526500000000000000e+03 1.122610050308271620e-07
