# ell cl_yy
2.650000000000000000e+01 5.029250655001811014e-14
7.650000000000000000e+01 2.456749947080120050e-15
1.265000000000000000e+02 1.531363768538024408e-15
1.765000000000000000e+02 8.652597765576657354e-16
2.265000000000000000e+02 5.941054312505275886e-16
2.765000000000000000e+02 4.404455325131028355e-16
3.265000000000000000e+02 3.434111129677128597e-16
3.764999999999999432e+02 2.805218839792875267e-16
4.264999999999999432e+02 2.573745297256537035e-16
4.764999999999999432e+02 2.473339375344399403e-16
5.265000000000000000e+02 2.383851667954242940e-16
5.765000000000000000e+02 2.274383795272834839e-16
6.265000000000000000e+02 2.004841119405162589e-16
6.765000000000001137e+02 1.894038871291238457e-16
7.265000000000001137e+02 1.836093478762305527e-16
7.765000000000001137e+02 1.870128949702152767e-16
8.265000000000000000e+02 1.861608393461240408e-16
8.765000000000000000e+02 1.667972832982291115e-16
9.265000000000000000e+02 1.398533175516270649e-16
9.765000000000000000e+02 1.133000538449601937e-16
1.026500000000000000e+03 1.010195088834862869e-16
1.076500000000000000e+03 1.019393531351019471e-16
1.126500000000000000e+03 9.990262635175244583e-17
1.176500000000000227e+03 8.927666459602582399e-17
1.226500000000000227e+03 7.553829436351003357e-17
1.276500000000000455e+03 6.247122482139567510e-17
1.326500000000000227e+03 5.655960325214549309e-17
1.376500000000000227e+03 5.735019343168272989e-17
1.426500000000000227e+03 5.589261056606696805e-17
1.476500000000000227e+03 4.957435158745914891e-17
1.526500000000000000e+03 4.064319831912490983e-17
1.576500000000000000e+03 3.271086037447656582e-17
1.626500000000000227e+03 2.844962806082543613e-17
1.676500000000000227e+03 2.663028346131406739e-17
1.726500000000000227e+03 2.579730626168104810e-17
1.776500000000000227e+03 2.397546322650104761e-17
1.826500000000000227e+03 2.148176058431045603e-17
1.876500000000000000e+03 1.889773440610199748e-17
1.926500000000000000e+03 1.743034911134691054e-17
1.976500000000000000e+03 1.681379187042479526e-17
2.026500000000000000e+03 1.615661930476851977e-17
2.076500000000000000e+03 1.587328214819836754e-17
2.126500000000000000e+03 1.485263893814782158e-17
2.176500000000000000e+03 1.385267618322080576e-17
2.226500000000000000e+03 1.319105349607547499e-17
2.276500000000000000e+03 1.274889683342468277e-17
2.326500000000000000e+03 1.283485941985499523e-17
2.376500000000000000e+03 1.262427395683020046e-17
2.426500000000000000e+03 1.238236297341002188e-17
2.476500000000000000e+03 1.241548620351087464e-17
2.526500000000000455e+03 1.235077444552280500e-17
2.576500000000000909e+03 1.233208156313441932e-17
2.626500000000000455e+03 1.263742301792880522e-17
2.676500000000000909e+03 1.265081749530521340e-17
2.726500000000001364e+03 1.289396671499934150e-17
2.776500000000001819e+03 1.301986786462055536e-17
2.826500000000001819e+03 1.311478686949091416e-17
2.876500000000001819e+03 1.334093621094033579e-17
2.926500000000001819e+03 1.342303231815499395e-17
2.976500000000001364e+03 1.368358195863840925e-17
3.026500000000001364e+03 1.381623628340601768e-17
3.076500000000001364e+03 1.420087090919624879e-17
3.126500000000000909e+03 1.434752376301591882e-17
3.176500000000000909e+03 1.485781985544353547e-17
3.226500000000000455e+03 1.511493921271706166e-17
3.276500000000000455e+03 1.535734667318097372e-17
3.326500000000000000e+03 1.575095627301379720e-17
3.376500000000000000e+03 1.631346244244885229e-17
3.426500000000000000e+03 1.661927313760010013e-17
3.476500000000000000e+03 1.728899749533762087e-17
3.526500000000000000e+03 1.752666421204262196e-17
3.576500000000000000e+03 1.839771015795659584e-17
3.626500000000000000e+03 1.894886673391588400e-17
3.676500000000000000e+03 1.991971635343090034e-17
3.726500000000000000e+03 2.080837574116253462e-17
3.776500000000000000e+03 2.197897350728347237e-17
3.826500000000000000e+03 2.306718992715019791e-17
3.876500000000000000e+03 2.457681518084303496e-17
3.926500000000000000e+03 2.598983834331951680e-17
3.976500000000000000e+03 2.755193122014333680e-17
4.026500000000000000e+03 2.927020883688381972e-17
4.076500000000000000e+03 3.136614065123237709e-17
4.126500000000000000e+03 3.473104410319325661e-17
4.176500000000000000e+03 3.903899292286577425e-17
4.226500000000000000e+03 4.533201282816350156e-17
4.276500000000000000e+03 5.514232164587696671e-17
4.326500000000000000e+03 6.684067239584090854e-17
4.376500000000000000e+03 8.120905221560756055e-17
4.426500000000000000e+03 9.683213931527549817e-17
4.476500000000000000e+03 1.095079035724734712e-16
4.526500000000000000e+03 1.223892142285616757e-16
4.576499999999999091e+03 1.302188233056054777e-16
4.626499999999999091e+03 1.318552770735176842e-16
4.676499999999999091e+03 1.362530568529488598e-16
4.726499999999999091e+03 1.390610113712747186e-16
4.776499999999999091e+03 1.425909416359506849e-16
4.826499999999999091e+03 1.446984822803700223e-16
4.876499999999999091e+03 1.476626476432971592e-16
4.926499999999999091e+03 1.484780660569143144e-16
4.976499999999999091e+03 1.522465379252825227e-16
5.026499999999999091e+03 1.557521302258476011e-16
5.076499999999999091e+03 1.641213099331683483e-16
5.126499999999999091e+03 1.692937959759730595e-16
5.176499999999999091e+03 1.795092742494209018e-16
5.226499999999999091e+03 1.834535304545661413e-16
5.276499999999998181e+03 1.914580034333599826e-16
5.326499999999998181e+03 1.990005767961896637e-16
5.376499999999998181e+03 2.062565505456426664e-16
5.426499999999998181e+03 2.121127786916261192e-16
5.476499999999998181e+03 2.149094511686552772e-16
5.526499999999998181e+03 2.194666359619162644e-16
5.576499999999998181e+03 2.200253218139855552e-16
5.626499999999998181e+03 2.197287410441136420e-16
5.676499999999998181e+03 2.183826991422610288e-16
5.726499999999998181e+03 2.207648548486457205e-16
5.776499999999998181e+03 2.187374897517571225e-16
5.826499999999998181e+03 2.198200556577960838e-16
5.876499999999998181e+03 2.224471715694534264e-16
5.926499999999998181e+03 2.244581954280231894e-16
5.976499999999998181e+03 2.284023874871284897e-16
6.026499999999998181e+03 2.333622028610466059e-16
6.076499999999999091e+03 2.454308401363824375e-16
