# ell cl_yy
2.650000000000000000e+01 3.702343957426149804e-15
7.650000000000000000e+01 1.288402673339394697e-16
1.265000000000000000e+02 1.621810040696990916e-16
1.765000000000000000e+02 1.370005809489293388e-16
2.265000000000000000e+02 1.253680238044754453e-16
2.765000000000000000e+02 1.132093599084145667e-16
3.265000000000000000e+02 1.027255532373931491e-16
3.764999999999999432e+02 9.415313511601400315e-17
4.264999999999999432e+02 9.130661523580928883e-17
4.764999999999999432e+02 8.307708599687973524e-17
5.265000000000000000e+02 7.961656201546933335e-17
5.765000000000000000e+02 7.633002400097386155e-17
6.265000000000000000e+02 7.019737199446273301e-17
6.765000000000001137e+02 6.744267119413770701e-17
7.265000000000001137e+02 6.439999999212123567e-17
7.765000000000001137e+02 6.191090639646716454e-17
8.265000000000000000e+02 6.098242762513763516e-17
8.765000000000000000e+02 5.727190823358238296e-17
9.265000000000000000e+02 5.367712147957124227e-17
9.765000000000000000e+02 4.980024146634744183e-17
1.026500000000000000e+03 4.582388119742274302e-17
1.076500000000000000e+03 4.554978876235827934e-17
1.126500000000000000e+03 4.510900416498086641e-17
1.176500000000000227e+03 4.266025486012430861e-17
1.226500000000000227e+03 4.092139420023883307e-17
1.276500000000000455e+03 3.760202553346792905e-17
1.326500000000000227e+03 3.565523720862159419e-17
1.376500000000000227e+03 3.501422961898655884e-17
1.426500000000000227e+03 3.414282119792262230e-17
1.476500000000000227e+03 3.214117938820168615e-17
1.526500000000000000e+03 2.878897595629592492e-17
1.576500000000000000e+03 2.534396203194860183e-17
1.626500000000000227e+03 2.319924606629952325e-17
1.676500000000000227e+03 2.201106968113244187e-17
1.726500000000000227e+03 2.151835000893890722e-17
1.776500000000000227e+03 2.018287453971729924e-17
1.826500000000000227e+03 1.838837214481430995e-17
1.876500000000000000e+03 1.629697004227824028e-17
1.926500000000000000e+03 1.486431396090080376e-17
1.976500000000000000e+03 1.409125703030259338e-17
2.026500000000000000e+03 1.335575233194104840e-17
2.076500000000000000e+03 1.277068999218337723e-17
2.126500000000000000e+03 1.157547431062866023e-17
2.176500000000000000e+03 1.006746488051056376e-17
2.226500000000000000e+03 8.992462878409523788e-18
2.276500000000000000e+03 8.191627812557677750e-18
2.326500000000000000e+03 7.886152696889976558e-18
2.376500000000000000e+03 7.545559145942191138e-18
2.426500000000000000e+03 6.907999085932714063e-18
2.476500000000000000e+03 6.457202361807165721e-18
2.526500000000000455e+03 5.935492054967608106e-18
2.576500000000000909e+03 5.676541645165497718e-18
2.626500000000000455e+03 5.553630987851403913e-18
2.676500000000000909e+03 5.256145436650789469e-18
2.726500000000001364e+03 5.124282247154392627e-18
2.776500000000001819e+03 4.876927240924022023e-18
2.826500000000001819e+03 4.694630060074458504e-18
