# ell cibdBeta_1.2_T_10.7_gy cibdBeta_1.2_T_10.7_yy cibdBeta_1.2_T_24.0_gy cibdBeta_1.2_T_24.0_yy cibdBeta_1.3_T_24.0_gy cibdBeta_1.3_T_24.0_yy cibdBeta_1.35_T_24.0_gy cibdBeta_1.35_T_24.0_yy cibdBeta_1.45_T_24.0_gy cibdBeta_1.45_T_24.0_yy cibdBeta_1.4_T_10.7_gy cibdBeta_1.4_T_10.7_yy cibdBeta_1.4_T_24.0_gy cibdBeta_1.4_T_24.0_yy cibdBeta_1.6_T_10.7_gy cibdBeta_1.6_T_10.7_yy cibdBeta_1.6_T_24.0_gy cibdBeta_1.6_T_24.0_yy cibdBeta_1.7_T_10.7_gy cibdBeta_1.7_T_10.7_yy cibdBeta_1.7_T_24.0_gy cibdBeta_1.7_T_24.0_yy cibdBeta_1.8_T_10.7_gy cibdBeta_1.8_T_10.7_yy cibdBeta_1.8_T_24.0_gy cibdBeta_1.8_T_24.0_yy
2.650000000000000000e+01 -2.199676878665457566e-10 5.516841789056810528e-14 -7.269791543434409339e-12 3.875917982018850114e-15 -3.820240803363609140e-12 3.510525799558541051e-15 -3.449206089677710649e-12 3.328749910687257514e-15 -5.431805592187861069e-12 2.963837703753233813e-15 -2.922053375432760007e-10 6.172278871297870002e-14 -3.991209515005131465e-12 3.146024425902626266e-15 -3.009584607462840837e-10 5.307919678960315933e-14 -1.492737958249253162e-11 2.469828185018553292e-15 -2.814420527794452940e-10 4.469290550834075961e-14 -2.520051305937599023e-11 2.266079033653453592e-15 -2.568862957425945364e-10 3.654145449927172496e-14 -3.819051824815728688e-11 2.261229866782817253e-15
7.650000000000000000e+01 -7.059023195222775261e-12 6.213881977207312240e-16 -1.057103466532136515e-12 -1.382454441493998487e-17 -9.543358460032363279e-13 -8.807234918147475349e-18 -9.266610422295489443e-13 -6.388726687425957735e-18 -9.197194154217847949e-13 -1.697991304199925492e-18 -7.427702390548840023e-12 -8.318514983645321159e-16 -9.153016569789552315e-13 -3.996711090250969716e-18 -7.131762646371765519e-12 -1.384570941676082473e-15 -1.027179339612298280e-12 2.726373430849269860e-18 -6.687823788424971534e-12 -1.286400485965822788e-15 -1.171528265924590505e-12 5.822989771213644308e-19 -6.184806343896376927e-12 -1.103744930762326744e-15 -1.368483905432976659e-12 -9.181024220499842343e-18
1.265000000000000000e+02 -1.937732035903404122e-12 2.658997602494831142e-16 8.320405640595790481e-13 6.994069705786778782e-17 7.995917581585086644e-13 6.659307533277110163e-17 7.752196982323165770e-13 6.500085463080310249e-17 7.106607384212910316e-13 6.205997115287467811e-17 -1.570304394982615430e-12 -3.502218686587124323e-16 7.455396120886208775e-13 6.349686741442590319e-17 -1.138065948934832398e-12 -5.388861366423921068e-16 5.767078172645577259e-13 5.734618894942523831e-17 -9.335192388311906947e-13 -4.886824030483951434e-16 4.649052688350490307e-13 5.251448852854130411e-17 -7.667985744288875344e-13 -4.103717999323906976e-16 3.372472794483931008e-13 4.471215557023946720e-17
1.765000000000000000e+02 -7.759776321343402744e-14 5.889564813418712359e-17 -1.364719645310920978e-12 7.012231083458983747e-17 -1.358185472887936179e-12 6.700437996648630878e-17 -1.353263998361959959e-12 6.537351782187143131e-17 -1.340420225537444029e-12 6.212440193198963691e-17 -3.562836132210339002e-13 -3.480371776663860951e-16 -1.347242273694192736e-12 6.374434404092750963e-17 -6.911251468057660631e-13 -4.479950430278290875e-16 -1.313179957386520554e-12 5.685701078590223004e-17 -8.321033352775503422e-13 -3.957214851931411323e-16 -1.289190570333561762e-12 5.214796285194389336e-17 -9.365930031788486981e-13 -3.258994565907780796e-16 -1.260206317722709165e-12 4.538163703563141202e-17
2.265000000000000000e+02 -3.867706363020620335e-12 1.198832328239693199e-16 -2.842445478955348461e-13 1.210505266562158311e-16 -2.494985415540197663e-13 1.149710682046831384e-16 -2.404374582128596877e-13 1.119212945856068708e-16 -2.392488226260721625e-13 1.059693724402279242e-16 -3.212431501426475321e-12 -1.014097316351134301e-16 -2.369737875632626201e-13 1.089165334776739725e-16 -2.537078074839678856e-12 -1.567112146562387386e-16 -2.787018759110462312e-13 9.734983128867354845e-17 -2.242038955637051502e-12 -1.317279526586954654e-16 -3.307724616858346796e-13 9.136805300688459537e-17 -1.993018951619075715e-12 -9.791965786905242420e-17 -4.015207121925177680e-13 8.460463239983760441e-17
2.765000000000000000e+02 4.827405129344420976e-13 1.778193975485589328e-16 5.489464989183692581e-13 1.089549345653843559e-16 5.301685812506338561e-13 1.023367857139743044e-16 5.217688313044585534e-13 9.908039366367728353e-17 5.074637570937012915e-13 9.280957125806407063e-17 5.806063642092779674e-13 2.716404480267607040e-17 5.140835479049003405e-13 9.590035058226177309e-17 7.003861727058525583e-13 -2.082292688810189662e-17 4.921842818115213166e-13 8.402266011509474136e-17 7.284227089851628525e-13 -1.275560559843973807e-17 4.857534170003096219e-13 7.833703948102669960e-17 7.315131333043800645e-13 5.221679514991420494e-19 4.817216194663996176e-13 7.245147050083115411e-17
3.265000000000000000e+02 -7.028853338370708561e-13 1.537273723151052674e-16 -5.757859401324632130e-13 1.139553988570271720e-16 -5.576869780377824195e-13 1.079375775121121354e-16 -5.498324394451372069e-13 1.048035308250566563e-16 -5.368254814295365250e-13 9.843522203977188001e-17 -7.600009084187763975e-13 6.528524460772317719e-17 -5.428631801237903546e-13 1.016279260490889755e-16 -7.755059014187853469e-13 3.144941700956119233e-17 -5.245648968399516930e-13 8.888197106814790561e-17 -7.597726466787171856e-13 3.290305475283627731e-17 -5.211981744765937906e-13 8.256718530403968133e-17 -7.351130875389823505e-13 3.790465387555026112e-17 -5.213369833690407911e-13 7.624364219909732011e-17
3.764999999999999432e+02 -3.645840353523739931e-15 2.346050023358051526e-16 -6.459095733109763563e-14 1.149549058630585032e-16 -6.789820903714698702e-14 1.084102149299258370e-16 -6.935451193408654187e-14 1.051526247496919089e-16 -7.197099317315150981e-14 9.878641366972667660e-17 -5.820691197332247807e-14 1.921908046141871636e-16 -7.069190350416609527e-14 1.019379040510790627e-16 -9.134893265187132146e-14 1.557678720248732956e-16 -7.541286745666661649e-14 8.984211919664069108e-17 -9.546687023455606880e-14 1.417778620466497469e-16 -7.759842833856388909e-14 8.439529264461035517e-17 -9.547785786101757191e-14 1.296800233147677776e-16 -7.976432791313222364e-14 7.940849828363889690e-17
4.264999999999999432e+02 -7.293575111372321709e-13 2.836744717577382582e-16 -2.389408357850234284e-13 1.320846776630838670e-16 -2.177745069530716292e-13 1.245594110969301735e-16 -2.059984132903898798e-13 1.207893622395837553e-16 -1.803711901467651538e-13 1.133773226085505089e-16 -4.444630914317260408e-13 2.446272636271601505e-16 -1.934998569462123108e-13 1.170534837791617844e-16 -2.262838409796571629e-13 2.007605169535870017e-16 -1.380270545151320592e-13 1.029034788618627029e-16 -1.577934019389004465e-13 1.806411586719650422e-16 -1.083305082089691284e-13 9.654387318182746116e-17 -1.106368248576846267e-13 1.628399989203120862e-16 -7.834152686832547723e-14 9.079611029061764089e-17
4.764999999999999432e+02 1.135349239841657758e-13 2.495581812742245759e-16 -2.778162266165459985e-13 1.236596806265504372e-16 -2.791698878142968225e-13 1.169629512823938261e-16 -2.787788251254802069e-13 1.135936502579273878e-16 -2.758061162472031388e-13 1.069538373265424457e-16 5.044526505681372087e-14 2.213986675883204742e-16 -2.776529770308673283e-13 1.102487574857382514e-16 -2.890785885975348781e-14 1.865159287346066268e-16 -2.660337896785651215e-13 9.755768473511201983e-17 -6.373009053704700615e-14 1.693525401123082702e-16 -2.562627233741689011e-13 9.185665017614602297e-17 -9.182559976784143700e-14 1.537125401965270913e-16 -2.442030472198250123e-13 8.671364756508668663e-17
5.265000000000000000e+02 7.363629567882049794e-13 2.447366154384811132e-16 4.936675506515277746e-13 1.330387090189095669e-16 4.730995565999950612e-13 1.258048298696102767e-16 4.633833765792070601e-13 1.221646489883751270e-16 4.450813350864656691e-13 1.149740419427355511e-16 6.808275853498708806e-13 2.172671562983374249e-16 4.541086851382886030e-13 1.185467525966517967e-16 6.352102032733392652e-13 1.848475785991229348e-16 4.205546953108574978e-13 1.047160050389398709e-16 6.098369477713681407e-13 1.688854185470055349e-16 4.060132035533530214e-13 9.840273147971919992e-17 5.821793537044759451e-13 1.541515695647279637e-16 3.928588561894761178e-13 9.260662590562866964e-17
