# ell cibdBeta_1.0_T_10.7_gy cibdBeta_1.0_T_10.7_yy cibdBeta_1.2_T_10.7_gy cibdBeta_1.2_T_10.7_yy
2.650000000000000000e+01 -9.141620008504096190e-11 5.025573006761457834e-14 -1.072780690620018723e-10 5.404074222043288091e-14
7.650000000000000000e+01 6.068616013294112942e-12 2.459361813958760659e-15 5.980331432995591454e-12 1.850866213613466054e-15
1.265000000000000000e+02 3.634528389853623830e-12 1.532092859416031408e-15 3.185333571228830034e-12 1.225857022329157289e-15
1.765000000000000000e+02 4.171244161956076125e-12 8.653066492046988984e-16 3.812941191870430159e-12 6.874964263275590112e-16
2.265000000000000000e+02 2.330257707114797436e-12 5.939752070165383261e-16 2.161686442562921118e-12 4.841962425936682051e-16
2.765000000000000000e+02 1.973712528040518347e-12 4.404873136723127564e-16 1.864624774492015497e-12 3.728184490430366270e-16
3.265000000000000000e+02 1.728561050823854985e-12 3.433148387752011653e-16 1.632212649046183291e-12 3.014048461525067928e-16
3.764999999999999432e+02 1.110143865262776543e-12 2.805331934274708284e-16 1.066782368982849503e-12 2.587190754859426172e-16
4.264999999999999432e+02 1.047746977147466211e-12 2.574673632232273351e-16 1.019348372541720562e-12 2.426625823173494250e-16
4.764999999999999432e+02 8.106846752786908078e-13 2.473820609711249616e-16 8.029358759366984890e-13 2.328849048984917986e-16
5.265000000000000000e+02 7.738013014620982155e-13 2.384008115346889951e-16 7.636351034641281638e-13 2.235714669043351085e-16
5.765000000000000000e+02 7.352712562309800707e-13 2.276454023447488713e-16 7.374541742299152867e-13 2.168276040197892489e-16
6.265000000000000000e+02 5.675153188367409872e-13 2.008705370760785247e-16 5.638665869968205895e-13 1.962215081062752387e-16
6.765000000000001137e+02 5.599653737189027559e-13 1.897482632663357158e-16 5.611099821119320013e-13 1.878308700811490153e-16
7.265000000000001137e+02 4.828782718380262487e-13 1.839091108741127849e-16 4.992360458178779611e-13 1.823389732418267830e-16
7.765000000000001137e+02 3.748192023983810600e-13 1.874800315185641806e-16 3.927527763775194181e-13 1.853861493495928798e-16
8.265000000000000000e+02 3.483819371690586215e-13 1.867196011615797146e-16 3.747478441694013822e-13 1.854111058342492131e-16
8.765000000000000000e+02 2.970825951478594694e-13 1.672117822290948941e-16 3.181197834124356982e-13 1.697210291138312894e-16
9.265000000000000000e+02 2.159019887784586086e-13 1.403486345351392096e-16 2.419924898390304764e-13 1.467716841107574902e-16
9.765000000000000000e+02 1.915114770245487599e-13 1.136927541552642755e-16 2.212917768712132809e-13 1.221648618520595397e-16
1.026500000000000000e+03 1.788689389094222029e-13 1.014162404049776494e-16 2.090048072342477067e-13 1.103083342342169896e-16
1.076500000000000000e+03 2.153649282681218053e-13 1.024498527031496126e-16 2.496539047809519553e-13 1.111994117389291801e-16
1.126500000000000000e+03 1.407411177386916071e-13 1.004573108377736100e-16 1.729447515173227156e-13 1.097210654570722988e-16
1.176500000000000227e+03 1.370867997858173930e-13 8.968974905676895491e-17 1.698307059839135039e-13 9.877108929070647920e-17
1.226500000000000227e+03 9.521005537043966693e-14 7.595013618196260241e-17 1.263794261162013091e-13 8.446912741628556726e-17
1.276500000000000455e+03 1.030136292481760613e-13 6.288113973347011993e-17 1.359273467711773631e-13 7.046913494273209748e-17
1.326500000000000227e+03 5.241427458314456167e-14 5.698820133593915393e-17 8.029839106887615425e-14 6.372412808436305005e-17
