# ell cibdBeta_1.0_T_10.7_gy cibdBeta_1.0_T_10.7_yy
2.650000000000000000e+01 -1.658536840237518015e-10 5.144956251005183379e-14
7.650000000000000000e+01 -7.935508675885070353e-12 1.439532055529053874e-15
1.265000000000000000e+02 -2.121320076729215956e-12 7.153926909612965152e-16
1.765000000000000000e+02 1.141384795000840635e-14 3.482833944857349607e-16
2.265000000000000000e+02 -4.395411987459678666e-12 2.849883423104415315e-16
2.765000000000000000e+02 4.629080077285262283e-13 2.894785746053607778e-16
3.265000000000000000e+02 -6.667633874324338387e-13 2.160329909258547720e-16
3.764999999999999432e+02 3.457071419958809674e-14 2.545647189845559842e-16
4.264999999999999432e+02 -9.484737385417514182e-13 3.008891064789870504e-16
4.764999999999999432e+02 1.243714379619062833e-13 2.617469119771808840e-16
5.265000000000000000e+02 8.078565427270453426e-13 2.595706753059695354e-16
5.765000000000000000e+02 1.126410883776602984e-13 2.245133214896483672e-16
6.265000000000000000e+02 -2.156709105355044088e-13 1.955778057116238206e-16
6.765000000000001137e+02 3.330870082749155575e-13 1.917851341015997871e-16
7.265000000000001137e+02 -1.010207246710703316e-13 1.831464053476418398e-16
7.765000000000001137e+02 -3.084503252490401810e-13 1.908944973990918323e-16
8.265000000000000000e+02 -4.427698236985442109e-14 1.942319950696398651e-16
8.765000000000000000e+02 4.253524957341036958e-13 1.755830102379222346e-16
9.265000000000000000e+02 4.943990692720668458e-13 1.408018837703016029e-16
9.765000000000000000e+02 4.782970378157330051e-14 1.174825205994737457e-16
1.026500000000000000e+03 -1.229309553824374426e-13 1.027632213983099959e-16
1.076500000000000000e+03 -1.561129906450707991e-14 1.030279422865611914e-16
1.126500000000000000e+03 -4.831492897911902276e-14 1.067169003046227087e-16
1.176500000000000227e+03 -8.372392200541276862e-14 9.353858474111074882e-17
1.226500000000000227e+03 -1.674970113500193076e-13 7.820668340780063022e-17
1.276500000000000455e+03 1.635551240378099201e-13 6.591065097212872701e-17
1.326500000000000227e+03 1.111512433229746259e-14 5.812368144226078402e-17
1.376500000000000227e+03 8.620020251171722190e-14 6.096434706972313077e-17
1.426500000000000227e+03 -5.461106902592204855e-14 6.023185927755941291e-17
1.476500000000000227e+03 1.129359224731032084e-13 5.494841684272201767e-17
1.526500000000000000e+03 6.001907125456667893e-14 4.451114369652191612e-17
1.576500000000000000e+03 -3.535965815365611185e-14 3.420786637990435792e-17
1.626500000000000227e+03 1.568932311196806374e-14 3.026887475822723723e-17
1.676500000000000227e+03 -8.696957886492231303e-14 2.875331357571592481e-17
1.726500000000000227e+03 2.261925674560319426e-14 2.815097512530320444e-17
1.776500000000000227e+03 1.399061332106389939e-14 2.505594048969005823e-17
1.826500000000000227e+03 1.265911363653150645e-13 2.428434760937098561e-17
1.876500000000000000e+03 -5.783400684479407435e-14 2.086625478917090808e-17
1.926500000000000000e+03 9.349923681728044395e-15 1.880839179678037746e-17
1.976500000000000000e+03 -6.278339860497926362e-14 1.885170880414473276e-17
2.026500000000000000e+03 -1.066575287003732291e-13 1.802601258526622216e-17
2.076500000000000000e+03 5.237249287581383174e-14 1.760296827854923356e-17
2.126500000000000000e+03 -7.166988654619991399e-14 1.616634005630273667e-17
2.176500000000000000e+03 -2.958913549271551744e-14 1.556648070919888226e-17
2.226500000000000000e+03 -3.162832965892795795e-14 1.508215936016573505e-17
2.276500000000000000e+03 1.673177744529356626e-14 1.439177839107981743e-17
2.326500000000000000e+03 -5.163698026884605182e-14 1.487933791581951014e-17
2.376500000000000000e+03 1.237061500695027316e-14 1.457147545265293388e-17
2.426500000000000000e+03 -5.139541702451176904e-14 1.425247870261521257e-17
2.476500000000000000e+03 2.132126064622785604e-14 1.430578222681503092e-17
2.526500000000000455e+03 -3.583629934573773471e-14 1.392390994425881577e-17
2.576500000000000909e+03 -1.874513048474210961e-14 1.425507935126832876e-17
2.626500000000000455e+03 -2.518624366686893587e-14 1.488939520654156020e-17
2.676500000000000909e+03 -6.269077659786064833e-14 1.481628345952372091e-17
2.726500000000001364e+03 -1.183919565078262848e-14 1.499581155802372840e-17
2.776500000000001819e+03 2.018148907335487462e-14 1.546000455657507447e-17
2.826500000000001819e+03 1.631057907316447158e-14 1.548665416971126143e-17
2.876500000000001819e+03 -1.600911691721805427e-14 1.590298170494312481e-17
2.926500000000001819e+03 -4.285514164743338320e-15 1.583189822316353689e-17
2.976500000000001364e+03 -4.006293760019782401e-14 1.629726824679201627e-17
3.026500000000001364e+03 -1.328224781138362774e-14 1.609330402261827696e-17
3.076500000000001364e+03 -3.413878579694116766e-14 1.704225588099302983e-17
3.126500000000000909e+03 -1.652969153198708966e-15 1.661358754703742295e-17
3.176500000000000909e+03 3.640019469074267417e-14 1.797799355954241096e-17
3.226500000000000455e+03 6.053670173498909620e-14 1.853007628488258274e-17
3.276500000000000455e+03 3.248394330511316057e-14 1.863459735654670893e-17
3.326500000000000000e+03 2.070824574728838173e-14 1.840733946149949316e-17
3.376500000000000000e+03 1.577818435400117542e-14 1.946380150744046946e-17
3.426500000000000000e+03 -4.029138078183522359e-14 1.971109990464901404e-17
3.476500000000000000e+03 7.171710946142180111e-14 2.051526080152414886e-17
3.526500000000000000e+03 -7.802218902552189262e-15 2.105137733133552931e-17
3.576500000000000000e+03 3.623639154814823426e-14 2.183654940176356343e-17
3.626500000000000000e+03 -3.264927023535210459e-14 2.307164060432305760e-17
3.676500000000000000e+03 -2.999201437464217073e-14 2.331368679662768468e-17
3.726500000000000000e+03 3.552921090317860573e-14 2.399333111384810264e-17
3.776500000000000000e+03 -1.011373262971803812e-14 2.541853280952638367e-17
3.826500000000000000e+03 5.578746623951839724e-15 2.688969127869731869e-17
3.876500000000000000e+03 3.555283304267640799e-14 2.920480837374903991e-17
