# ell cibdBeta_1.0_T_10.7_gy cibdBeta_1.0_T_10.7_yy cibdBeta_1.2_T_10.7_gy cibdBeta_1.2_T_10.7_yy
2.650000000000000000e+01 -1.658536840237518015e-10 5.144956251005183379e-14 -2.199676878665457566e-10 5.516841789056810528e-14
7.650000000000000000e+01 -7.935508675885070353e-12 1.439532055529053874e-15 -7.059023195222775261e-12 6.213881977207312240e-16
1.265000000000000000e+02 -2.121320076729215956e-12 7.153926909612965152e-16 -1.937732035903404122e-12 2.658997602494831142e-16
1.765000000000000000e+02 1.141384795000840635e-14 3.482833944857349607e-16 -7.759776321343402744e-14 5.889564813418712359e-17
2.265000000000000000e+02 -4.395411987459678666e-12 2.849883423104415315e-16 -3.867706363020620335e-12 1.198832328239693199e-16
2.765000000000000000e+02 4.629080077285262283e-13 2.894785746053607778e-16 4.827405129344420976e-13 1.778193975485589328e-16
3.265000000000000000e+02 -6.667633874324338387e-13 2.160329909258547720e-16 -7.028853338370708561e-13 1.537273723151052674e-16
3.764999999999999432e+02 3.457071419958809674e-14 2.545647189845559842e-16 -3.645840353523739931e-15 2.346050023358051526e-16
4.264999999999999432e+02 -9.484737385417514182e-13 3.008891064789870504e-16 -7.293575111372321709e-13 2.836744717577382582e-16
4.764999999999999432e+02 1.243714379619062833e-13 2.617469119771808840e-16 1.135349239841657758e-13 2.495581812742245759e-16
5.265000000000000000e+02 8.078565427270453426e-13 2.595706753059695354e-16 7.363629567882049794e-13 2.447366154384811132e-16
5.765000000000000000e+02 1.126410883776602984e-13 2.245133214896483672e-16 1.080693696795103765e-13 2.147143786271556390e-16
6.265000000000000000e+02 -2.156709105355044088e-13 1.955778057116238206e-16 -2.517121611092743033e-13 1.902241395241219089e-16
6.765000000000001137e+02 3.330870082749155575e-13 1.917851341015997871e-16 3.277755713575229085e-13 1.917644966945086869e-16
7.265000000000001137e+02 -1.010207246710703316e-13 1.831464053476418398e-16 -9.129187414412405295e-14 1.810440619151792376e-16
7.765000000000001137e+02 -3.084503252490401810e-13 1.908944973990918323e-16 -3.235922040795884362e-13 1.894751009321173495e-16
8.265000000000000000e+02 -4.427698236985442109e-14 1.942319950696398651e-16 -3.834704336463762274e-14 1.933621770090510872e-16
8.765000000000000000e+02 4.253524957341036958e-13 1.755830102379222346e-16 4.076194711599823138e-13 1.783814860273352878e-16
9.265000000000000000e+02 4.943990692720668458e-13 1.408018837703016029e-16 5.165821946270136605e-13 1.486031405104236386e-16
9.765000000000000000e+02 4.782970378157330051e-14 1.174825205994737457e-16 1.362449528567793175e-14 1.262659924397825597e-16
1.026500000000000000e+03 -1.229309553824374426e-13 1.027632213983099959e-16 -1.137623995018242248e-13 1.126756086668220038e-16
1.076500000000000000e+03 -1.561129906450707991e-14 1.030279422865611914e-16 -6.304248640904081692e-18 1.124569086353643076e-16
