# ell cl_gy cl_yy
2.650000000000000000e+01 -1.103653368317673663e-10 4.162836897424717999e-14
7.650000000000000000e+01 4.473251957192776545e-12 5.165025142304280525e-17
1.265000000000000000e+02 2.335149151734472653e-12 4.170443017461735739e-16
1.765000000000000000e+02 2.777856117526910088e-12 2.664142097174080889e-16
2.265000000000000000e+02 1.725383144350952836e-12 2.183180262989178820e-16
2.765000000000000000e+02 1.471605293868750235e-12 1.886959119611561695e-16
3.265000000000000000e+02 1.243188078601908678e-12 1.684537084395803532e-16
3.764999999999999432e+02 8.371420885499887573e-13 1.602268292309281599e-16
4.264999999999999432e+02 8.313957838062542201e-13 1.601973447558603734e-16
4.764999999999999432e+02 6.749097163263955789e-13 1.551229315372432711e-16
5.265000000000000000e+02 6.288322459979199007e-13 1.507962495441861748e-16
5.765000000000000000e+02 6.347535535613152839e-13 1.512273378407543896e-16
6.265000000000000000e+02 4.731378254642835914e-13 1.438688948914495451e-16
6.765000000000001137e+02 4.740486731990553699e-13 1.409949446414487128e-16
7.265000000000001137e+02 4.315688289069019937e-13 1.384667149909319055e-16
7.765000000000001137e+02 3.556850568881840251e-13 1.394781357739653289e-16
8.265000000000000000e+02 3.502481507227244622e-13 1.408829353045973370e-16
8.765000000000000000e+02 2.890317982509138320e-13 1.350165573723578697e-16
9.265000000000000000e+02 2.423496212650665877e-13 1.253369668786647621e-16
9.765000000000000000e+02 2.257289139782637338e-13 1.126780978264595950e-16
1.026500000000000000e+03 2.221634030518247627e-13 1.050031197156751762e-16
1.076500000000000000e+03 2.640671576610310117e-13 1.054814369516242196e-16
1.126500000000000000e+03 1.848771819587944812e-13 1.055456368561539956e-16
1.176500000000000227e+03 1.852316952357428530e-13 9.765713875898445098e-17
1.226500000000000227e+03 1.487361638779992550e-13 8.792996193453845142e-17
1.276500000000000455e+03 1.634435547008139682e-13 7.682922184527654707e-17
1.326500000000000227e+03 1.067120290361128796e-13 7.026347174345691196e-17
1.376500000000000227e+03 1.371331433899422639e-13 7.258592991143897945e-17
1.426500000000000227e+03 1.144789275921025674e-13 7.106900911072724078e-17
1.476500000000000227e+03 1.127397437993993895e-13 6.373796713833398279e-17
1.526500000000000000e+03 8.945201979108586787e-14 5.284693085981506978e-17
1.576500000000000000e+03 8.242829261451437810e-14 4.268104468490991778e-17
1.626500000000000227e+03 6.175250653631735306e-14 3.667366282856860953e-17
1.676500000000000227e+03 7.071816118553664898e-14 3.418923551129379518e-17
1.726500000000000227e+03 8.396002193144686276e-14 3.299505020239344866e-17
1.776500000000000227e+03 6.254009952841722042e-14 3.034414568998495281e-17
1.826500000000000227e+03 7.280513435728661491e-14 2.637618755620051456e-17
1.876500000000000000e+03 6.726261016680017565e-14 2.232444577532122560e-17
1.926500000000000000e+03 6.931709081077466129e-14 1.971272680454500798e-17
1.976500000000000000e+03 6.118496700486210285e-14 1.859495266501714983e-17
2.026500000000000000e+03 4.509356660380222301e-14 1.751502778510753925e-17
2.076500000000000000e+03 4.703980146635724881e-14 1.655273460842088475e-17
2.126500000000000000e+03 3.400543573099045412e-14 1.467201005687419493e-17
2.176500000000000000e+03 2.889560317794656491e-14 1.270429007801039612e-17
2.226500000000000000e+03 3.474111537302776020e-14 1.135737826181237042e-17
2.276500000000000000e+03 2.994536963468643663e-14 1.040001551464271236e-17
2.326500000000000000e+03 3.616217428094720786e-14 1.011767393537986584e-17
2.376500000000000000e+03 3.741350991764906278e-14 9.740610357919581890e-18
2.426500000000000000e+03 2.571541688579314978e-14 9.083556429778748805e-18
2.476500000000000000e+03 2.439474716091070320e-14 8.642224439391614538e-18
2.526500000000000455e+03 1.988174205643553666e-14 8.174902146503423297e-18
2.576500000000000909e+03 2.080728435030956160e-14 7.947423795640672550e-18
2.626500000000000455e+03 2.326366531172130837e-14 7.989333989921948998e-18
2.676500000000000909e+03 2.773523493204672007e-14 7.752704615083301806e-18
2.726500000000001364e+03 2.042121053039221324e-14 7.712903555083330346e-18
2.776500000000001819e+03 1.520568453900771373e-14 7.562871657456258501e-18
2.826500000000001819e+03 1.293177449468319176e-14 7.478518321388583784e-18
2.876500000000001819e+03 7.518489419923189923e-15 7.430484382023187408e-18
2.926500000000001819e+03 1.194992087618206051e-14 7.458872289237733145e-18
2.976500000000001364e+03 1.519645059706834926e-14 7.424275975920858277e-18
3.026500000000001364e+03 1.077994140132041623e-14 7.387660181333523289e-18
3.076500000000001364e+03 8.712141881622678262e-15 7.528131647877603535e-18
3.126500000000000909e+03 7.016633259693664793e-15 7.492141284346605408e-18
3.176500000000000909e+03 6.349186963857680389e-15 7.677406626608668148e-18
3.226500000000000455e+03 7.994379403108588103e-15 7.758493326691567105e-18
3.276500000000000455e+03 9.352882273542189998e-15 7.743628332537328439e-18
3.326500000000000000e+03 7.918068173423601140e-15 7.848347056928518773e-18
3.376500000000000000e+03 1.207922553205329259e-15 8.006476813877188952e-18
3.426500000000000000e+03 7.936167131318757176e-15 7.958513191043683439e-18
3.476500000000000000e+03 9.413624448372982371e-15 8.185934477556300013e-18
3.526500000000000000e+03 5.234489527705260888e-15 8.111949367731422832e-18
3.576500000000000000e+03 4.487134017160653802e-15 8.307844008996280599e-18
3.626500000000000000e+03 6.223559529652051388e-15 8.395525524272618735e-18
3.676500000000000000e+03 1.874467253686681457e-15 8.594889792718368391e-18
3.726500000000000000e+03 3.763913360055590481e-15 8.724765387817074310e-18
3.776500000000000000e+03 9.323403164581045657e-15 8.934471500446008936e-18
3.826500000000000000e+03 -2.692681369332323566e-16 9.096943135339497855e-18
3.876500000000000000e+03 1.686483153314422333e-15 9.407303660033285811e-18
3.926500000000000000e+03 2.721577151785218715e-15 9.635977186316165972e-18
3.976500000000000000e+03 -6.262789999480120300e-15 9.919708489170037711e-18
4.026500000000000000e+03 -2.207650783425186075e-15 1.018990181727061473e-17
4.076500000000000000e+03 -1.670290080836427005e-15 1.055060141054672627e-17
4.126500000000000000e+03 -5.416127628953738856e-15 1.128968036188306686e-17
4.176500000000000000e+03 -3.725342938203751263e-15 1.231034688247682898e-17
4.226500000000000000e+03 1.175147739655926471e-15 1.391219162677521616e-17
4.276500000000000000e+03 -2.666262905965465494e-15 1.649377315048372267e-17
4.326500000000000000e+03 2.915706055018810508e-15 1.956524894938778177e-17
4.376500000000000000e+03 7.382505167252769228e-15 2.335517635016522671e-17
4.426500000000000000e+03 6.502566519297618867e-16 2.741413932500187740e-17
4.476500000000000000e+03 6.370214189098074681e-15 3.076486123783456262e-17
