# ell cl_gy cl_yy
2.650000000000000000e+01 -5.402026716797976069e-10 4.162836897424717999e-14
7.650000000000000000e+01 1.748993543902067248e-11 5.165025142304280525e-17
1.265000000000000000e+02 7.142975297955510869e-12 4.170443017461735739e-16
1.765000000000000000e+02 5.723970973914565817e-12 2.664142097174080889e-16
2.265000000000000000e+02 4.194870523208528920e-12 2.183180262989178820e-16
2.765000000000000000e+02 3.425169069285379023e-12 1.886959119611561695e-16
3.265000000000000000e+02 2.383485889271255441e-12 1.684537084395803532e-16
3.764999999999999432e+02 2.386554814066705238e-12 1.602268292309281599e-16
4.264999999999999432e+02 2.155075021499533305e-12 1.601973447558603734e-16
4.764999999999999432e+02 2.205097543069531623e-12 1.551229315372432711e-16
5.265000000000000000e+02 1.045198306481184522e-12 1.507962495441861748e-16
5.765000000000000000e+02 1.425280370638055068e-12 1.512273378407543896e-16
6.265000000000000000e+02 1.328257737099851523e-12 1.438688948914495451e-16
6.765000000000001137e+02 1.116479172669028897e-12 1.409949446414487128e-16
7.265000000000001137e+02 7.995387951329234564e-13 1.384667149909319055e-16
7.765000000000001137e+02 6.398148193941197793e-13 1.394781357739653289e-16
8.265000000000000000e+02 9.423132153785181396e-13 1.408829353045973370e-16
8.765000000000000000e+02 4.523564473308762010e-13 1.350165573723578697e-16
9.265000000000000000e+02 6.679305826979820803e-13 1.253369668786647621e-16
9.765000000000000000e+02 3.033385747916626006e-13 1.126780978264595950e-16
1.026500000000000000e+03 6.213794184974481795e-13 1.050031197156751762e-16
1.076500000000000000e+03 6.041173036297527516e-13 1.054814369516242196e-16
1.126500000000000000e+03 6.665238293395349549e-13 1.055456368561539956e-16
1.176500000000000227e+03 6.576688997672713764e-13 9.765713875898445098e-17
1.226500000000000227e+03 6.593090418931751099e-13 8.792996193453845142e-17
1.276500000000000455e+03 1.658282106722670290e-13 7.682922184527654707e-17
1.326500000000000227e+03 3.460085969543099849e-13 7.026347174345691196e-17
1.376500000000000227e+03 1.929039234569054825e-13 7.258592991143897945e-17
1.426500000000000227e+03 1.345107755558650611e-13 7.106900911072724078e-17
1.476500000000000227e+03 2.736584880673376079e-13 6.373796713833398279e-17
1.526500000000000000e+03 2.825151448122495659e-13 5.284693085981506978e-17
1.576500000000000000e+03 1.585833208249873014e-13 4.268104468490991778e-17
1.626500000000000227e+03 5.970448384236798483e-14 3.667366282856860953e-17
1.676500000000000227e+03 2.238856791631681107e-13 3.418923551129379518e-17
1.726500000000000227e+03 -2.562260777839928255e-15 3.299505020239344866e-17
1.776500000000000227e+03 1.296960260085235739e-13 3.034414568998495281e-17
1.826500000000000227e+03 9.309869689928074197e-14 2.637618755620051456e-17
1.876500000000000000e+03 5.348136378971555439e-14 2.232444577532122560e-17
1.926500000000000000e+03 2.065872618625093956e-14 1.971272680454500798e-17
1.976500000000000000e+03 -5.456862843117750632e-15 1.859495266501714983e-17
2.026500000000000000e+03 -3.813166193561526624e-15 1.751502778510753925e-17
2.076500000000000000e+03 -3.973382408146113851e-14 1.655273460842088475e-17
2.126500000000000000e+03 -1.100147873596323237e-14 1.467201005687419493e-17
