# ell cl_gy cl_yy
2.650000000000000000e+01 3.803296540602812014e-11 4.162836897424717999e-14
7.650000000000000000e+01 8.343882350675319389e-12 5.165025142304280525e-17
1.265000000000000000e+02 3.981354127107819529e-12 4.170443017461735739e-16
1.765000000000000000e+02 4.450979689438614395e-12 2.664142097174080889e-16
2.265000000000000000e+02 3.012319963848742435e-12 2.183180262989178820e-16
2.765000000000000000e+02 2.226658160339911004e-12 1.886959119611561695e-16
3.265000000000000000e+02 1.919442327099149607e-12 1.684537084395803532e-16
3.764999999999999432e+02 1.583420452026538772e-12 1.602268292309281599e-16
4.264999999999999432e+02 1.288863670759006149e-12 1.601973447558603734e-16
4.764999999999999432e+02 1.455276791619771827e-12 1.551229315372432711e-16
5.265000000000000000e+02 7.683135621645515251e-13 1.507962495441861748e-16
5.765000000000000000e+02 1.037901542188711470e-12 1.512273378407543896e-16
6.265000000000000000e+02 7.725096442559475697e-13 1.438688948914495451e-16
6.765000000000001137e+02 8.394356989181542334e-13 1.409949446414487128e-16
7.265000000000001137e+02 7.084615808901759250e-13 1.384667149909319055e-16
7.765000000000001137e+02 6.397931349873663261e-13 1.394781357739653289e-16
8.265000000000000000e+02 7.808616996453374657e-13 1.408829353045973370e-16
8.765000000000000000e+02 2.908231896264261315e-13 1.350165573723578697e-16
9.265000000000000000e+02 4.262128092432800849e-13 1.253369668786647621e-16
9.765000000000000000e+02 3.347113050563669572e-13 1.126780978264595950e-16
1.026500000000000000e+03 3.847576369137798340e-13 1.050031197156751762e-16
1.076500000000000000e+03 3.357901750047298596e-13 1.054814369516242196e-16
1.126500000000000000e+03 4.558349723567687193e-13 1.055456368561539956e-16
1.176500000000000227e+03 3.407037929178342623e-13 9.765713875898445098e-17
1.226500000000000227e+03 3.172624755174605109e-13 8.792996193453845142e-17
1.276500000000000455e+03 2.866954653314967780e-13 7.682922184527654707e-17
1.326500000000000227e+03 2.432775436241756962e-13 7.026347174345691196e-17
1.376500000000000227e+03 1.866224815241624457e-13 7.258592991143897945e-17
1.426500000000000227e+03 1.085893246690096872e-13 7.106900911072724078e-17
1.476500000000000227e+03 1.794718567333155663e-13 6.373796713833398279e-17
1.526500000000000000e+03 1.341561674720541088e-13 5.284693085981506978e-17
1.576500000000000000e+03 1.997010039926024721e-13 4.268104468490991778e-17
1.626500000000000227e+03 1.080723973027426433e-13 3.667366282856860953e-17
1.676500000000000227e+03 9.197761581040815174e-14 3.418923551129379518e-17
1.726500000000000227e+03 9.890926944294917593e-14 3.299505020239344866e-17
1.776500000000000227e+03 8.998036790080302134e-14 3.034414568998495281e-17
1.826500000000000227e+03 8.241082343925448471e-14 2.637618755620051456e-17
1.876500000000000000e+03 6.323628419547034546e-14 2.232444577532122560e-17
1.926500000000000000e+03 4.987109734327443643e-14 1.971272680454500798e-17
1.976500000000000000e+03 3.381604385226014215e-14 1.859495266501714983e-17
2.026500000000000000e+03 3.793096827671701793e-14 1.751502778510753925e-17
2.076500000000000000e+03 2.230249659708567530e-14 1.655273460842088475e-17
2.126500000000000000e+03 1.971407650764102042e-14 1.467201005687419493e-17
2.176500000000000000e+03 5.095457821602745986e-14 1.270429007801039612e-17
2.226500000000000000e+03 2.122171453525964394e-14 1.135737826181237042e-17
2.276500000000000000e+03 2.553883912166918395e-14 1.040001551464271236e-17
2.326500000000000000e+03 5.642812383723055791e-14 1.011767393537986584e-17
2.376500000000000000e+03 2.418490195412176376e-14 9.740610357919581890e-18
2.426500000000000000e+03 1.524808116796687633e-14 9.083556429778748805e-18
2.476500000000000000e+03 5.698664326636200268e-15 8.642224439391614538e-18
2.526500000000000455e+03 -1.558494943769608819e-15 8.174902146503423297e-18
2.576500000000000909e+03 -2.008031560756720076e-15 7.947423795640672550e-18
2.626500000000000455e+03 1.078325030779248062e-15 7.989333989921948998e-18
2.676500000000000909e+03 1.369896689570542939e-14 7.752704615083301806e-18
2.726500000000001364e+03 9.615862168373542783e-16 7.712903555083330346e-18
2.776500000000001819e+03 -2.850456631211318631e-14 7.562871657456258501e-18
2.826500000000001819e+03 -4.313520298196110067e-15 7.478518321388583784e-18
2.876500000000001819e+03 -1.110281104254098849e-15 7.430484382023187408e-18
2.926500000000001819e+03 -1.376959032328305185e-14 7.458872289237733145e-18
2.976500000000001364e+03 -8.161706406761639707e-15 7.424275975920858277e-18
3.026500000000001364e+03 -1.129472292373513186e-14 7.387660181333523289e-18
3.076500000000001364e+03 -1.099105265987202044e-14 7.528131647877603535e-18
3.126500000000000909e+03 -4.316429274852616273e-14 7.492141284346605408e-18
3.176500000000000909e+03 -3.637795933226659784e-14 7.677406626608668148e-18
3.226500000000000455e+03 -2.737878007833763453e-14 7.758493326691567105e-18
3.276500000000000455e+03 -2.821602232942177767e-14 7.743628332537328439e-18
3.326500000000000000e+03 -1.798583350629114677e-14 7.848347056928518773e-18
3.376500000000000000e+03 -4.051902355666198202e-14 8.006476813877188952e-18
3.426500000000000000e+03 -2.063738020341124523e-14 7.958513191043683439e-18
3.476500000000000000e+03 -1.964043637634933393e-14 8.185934477556300013e-18
3.526500000000000000e+03 -1.941579813402341624e-14 8.111949367731422832e-18
3.576500000000000000e+03 -1.816104703247042293e-14 8.307844008996280599e-18
3.626500000000000000e+03 -2.550641730584742014e-14 8.395525524272618735e-18
3.676500000000000000e+03 -3.872849002195889301e-14 8.594889792718368391e-18
3.726500000000000000e+03 -3.593307468495660229e-14 8.724765387817074310e-18
3.776500000000000000e+03 -4.739955407187422476e-14 8.934471500446008936e-18
3.826500000000000000e+03 -3.101423238878159037e-14 9.096943135339497855e-18
3.876500000000000000e+03 -4.529556251474223960e-14 9.407303660033285811e-18
3.926500000000000000e+03 -2.508455565932878577e-14 9.635977186316165972e-18
3.976500000000000000e+03 -3.836191282284146404e-14 9.919708489170037711e-18
4.026500000000000000e+03 -3.186433734666530774e-14 1.018990181727061473e-17
4.076500000000000000e+03 -3.216079517892512729e-14 1.055060141054672627e-17
4.126500000000000000e+03 -3.891994606761905844e-14 1.128968036188306686e-17
4.176500000000000000e+03 -3.990931913853645159e-14 1.231034688247682898e-17
4.226500000000000000e+03 -4.014186445990704876e-14 1.391219162677521616e-17
4.276500000000000000e+03 -5.162249655141040008e-14 1.649377315048372267e-17
4.326500000000000000e+03 -2.743274307006254678e-14 1.956524894938778177e-17
4.376500000000000000e+03 -4.451888221428035309e-14 2.335517635016522671e-17
4.426500000000000000e+03 -1.439679712290422267e-14 2.741413932500187740e-17
4.476500000000000000e+03 -2.894618845552375137e-14 3.076486123783456262e-17
4.526500000000000000e+03 -3.512738595230809635e-14 3.424745717721161190e-17
4.576499999999999091e+03 -3.758751975378891223e-14 3.625874977058684861e-17
4.626499999999999091e+03 -5.069566467820618615e-14 3.679924905456658713e-17
4.676499999999999091e+03 -4.578951786139744638e-14 3.804456949650075210e-17
4.726499999999999091e+03 -4.980282778935411573e-14 3.899428745932498024e-17
4.776499999999999091e+03 -5.284450149412720118e-14 4.016664155257571877e-17
4.826499999999999091e+03 -5.005738387494275255e-14 4.089395851603585435e-17
4.876499999999999091e+03 -4.395002270873767947e-14 4.168925462840394377e-17
4.926499999999999091e+03 -4.345579460810902153e-14 4.220100458844714706e-17
4.976499999999999091e+03 -3.826568253643350477e-14 4.328421051459023038e-17
5.026499999999999091e+03 -4.936974849342942594e-14 4.439261334287995208e-17
5.076499999999999091e+03 -7.227099901866544074e-14 4.659730659692404070e-17
5.126499999999999091e+03 -5.009626200314480986e-14 4.844557947578811520e-17
5.176499999999999091e+03 -2.092871982211448707e-14 5.164286976318022810e-17
5.226499999999999091e+03 -7.075767514564102928e-14 5.291403222261571887e-17
5.276499999999998181e+03 -3.832256269179815988e-14 5.519388903430959248e-17
5.326499999999998181e+03 -4.207468496119134392e-14 5.770030193456177238e-17
5.376499999999998181e+03 -7.788294354917790628e-15 5.982182905958350216e-17
5.426499999999998181e+03 -1.072552938013556168e-14 6.180195742108883207e-17
